	address	name	title	График работы	Опыт работы	Сфера деятельности
25	"м. Смоленская,  
 Центр,м.Смоленская"	portnoy-master_1002490175	Портной-мастер	полный день	более 3 лет	Производство, сырьё, с/х
26	Москва, м. Крылатское, Рублёвское шоссе, 62	prodavets-konsultant_597268832	Продавец-консультант	полный день	не имеет значения	Продажи
27	Москва, м. Комсомольская, Комсомольская площадь, 3	kladovschikzakupschik_1382957515	Кладовщик/Закупщик	полный день	более 1 года	Туризм, рестораны
28	Москва, м. Молодежная, улица Горбунова, 12к2с5	master-priemschik_810275552	Мастер-приемщик	сменный график	более 3 лет	Автомобильный бизнес
29		podrabotka_gruzchikom._ezhednevnye_vyplaty_814559718	Подработка Грузчиком. Ежедневные выплаты	свободный график	не имеет значения	Без опыта, студенты
30	Москва, м. Авиамоторная, Красноказарменная улица, 12с38	menedzher_otdela_prodazh_1340424964	Менеджер отдела продаж	полный день	не имеет значения	Продажи
31	Москва, м. Крымская, улица Карьер, 2	rabotnik_tsa_na_liniyu_razdachi_1216761535	Работник (ца) на линию раздачи			
32	Москва, м. Калужская, улица Бутлерова, 3А	kassir_1230682970	Кассир	полный день	не имеет значения	Продажи
33	"м. Домодедовская,  
 МКАД, 24-й километр, 1"	kassir_tts_vegas_711557068	Кассир (тц Вегас)	полный день	более 1 года	Продажи
34	Москва, м. Домодедовская, Южный административный округ, район Орехово-Борисово Южное	ofitsiant_m._domodedovskaya_995688659	Официант (м. Домодедовская)	сменный график	не имеет значения	Туризм, рестораны
35	"м. Площадь революции,  
 Москва"	voditel_peregonschik_1104212502	Водитель (перегонщик)			
36	"м. Озёрная,  
 Рябиновая"	uborschik-tsa_razezdnaya_1458091563	Уборщик-ца разъездная	полный день	более 1 года	ЖКХ, эксплуатация
37	Москва, м. Молодежная, Партизанская улица	trebuetsya_voditel_kategorii_s_1335650118	Требуется водитель категории С	полный день	более 1 года	Транспорт, логистика
38	Москва, м. Войковская, метро Войковская	ohrannik_1247768744	Охранник	сменный график	не имеет значения	Охрана, безопасность
39	"м. Площадь революции,  
 Москва"	spk_vitrazhi_fasady_1687504349	Спк, витражи, фасады			
40	Москва, м. Новокузнецкая, Большая Татарская улица, вл5	markirovschiktsa_s_besplatnym_prozhivaniem_vahta_v_1125640857	Маркировщик(ца) с бесплатным проживанием (вахта в	вахтовый метод	не имеет значения	Транспорт, логистика
41	Москва, м. Аэропорт, Ленинградский проспект, 62А	povar_rabotnik_restorana_1105599156	Повар / Работник ресторана	вахтовый метод	не имеет значения	Продажи
42	Москва, м. Кузьминки, метро Кузьминки	komplektovschik_na_sklad_igrushek_vahta_v_moskve_964307189	Комплектовщик на склад игрушек (вахта в Москве)	вахтовый метод	не имеет значения	Без опыта, студенты
43	Москва, м. Смоленская, Шубинский переулок	ohrannik_m.smolenskaya_1432078805	Охранник м.Смоленская	сменный график	не имеет значения	Охрана, безопасность
44	Москва, м. Домодедовская, Каширское шоссе, 61к3А	avtoslesar-avtomehanik_1297055596	Автослесарь-автомеханик	полный день	более 1 года	Автомобильный бизнес
45	"м. Текстильщики,  
 Волгоградский проспект, 42, корп.36"	rabochiy_na_konveyer_svarschik_malyar_sborschik_970968104	Рабочий на конвейер (Сварщик, маляр, сборщик)	полный день	не имеет значения	Производство, сырьё, с/х
46	Москва, м. Площадь Гагарина, улица Вавилова, 2	horeograf_v_detskiy_sad_1342346079	Хореограф в детский сад	неполный день	более 3 лет	Образование, наука
47	Москва, м. Рижская, проспект Мира, 88	prodavets_florist_1413296671	Продавец флорист			
48	Москва, м. ВДНХ, улица Бориса Галушкина, 14к1	prodavets-kassir_1114872318	Продавец-кассир	полный день	не имеет значения	Продажи
49	Москва, м. Нагатинская, м.Нагатинская, Варшавское ш. 26с6	parikmaher-universal_1347471281	Парикмахер-универсал	сменный график	более 3 лет	Фитнес, салоны красоты
50	Люблинско-Дмитровская линия, Москва, м. Верхние Лихоборы, метро Верхние Лихоборы	upakovschik_ezhednevnye_vyplaty_1465111630	Упаковщик ежедневные выплаты			
51	"м. Бауманская,  
 Бакунинская, д. 8"	prodavets_1136080919	Продавец	сменный график	не имеет значения	Продажи
52	Москва, м. Юго-Западная, проспект Вернадского, 86А	kassir_s_gibkim_grafikom_i_chastymi_vyplatami_1463249763	Кассир с гибким графиком и частыми выплатами	свободный график	не имеет значения	Без опыта, студенты
53	Москва, м. Алексеевская, метро Алексеевская	pomoschnik_spetsialista_po_rabote_s_klientami_1608470122	Помощник специалиста по работе с клиентами			
54	Москва, м. Новопеределкино, Новоорловская улица, 7	voditel_kategorii_s_1535347487	Водитель категории С	сменный график	более 1 года	Автомобильный бизнес
55		ohrannik_vahta_g._moskva_1025794523	Охранник вахта (г. Москва)	вахтовый метод	более 1 года	Охрана, безопасность
56	Москва, м. Мякинино, Новорижское шоссе 22-й км. влд. 1 стр 1	komplektovschik_sborschik_zakazov_1102903871	Комплектовщик / сборщик заказов			
57	"м. Новогиреево,  
 свободный проспект д.33а"	menedzher_po_prodazham_m._novogireevo_878260298	Менеджер по продажам м. Новогиреево	полный день	не имеет значения	Продажи
58	Москва, м. Селигерская, улица Софьи Ковалевской, 22с2	trebuetsya_zavhoz_v_obschezhitie_1625585143	Требуется завхоз в общежитие			
59	"м. Электрозаводская,  
 ул. Большая Семеновская, дом 31, корпус 1, офис 6"	sotrudnik_sluzhby_ohrany_833402295	Сотрудник службы охраны	сменный график	не имеет значения	Охрана, безопасность
60	Москва, м. Бабушкинская, метро Бабушкинская	gruzchik_-_raznorabochiy_zhile_v_moskve_89108275	Грузчик - Разнорабочий (Жилье в Москве)	вахтовый метод	не имеет значения	Транспорт, логистика
61	"м. Мякинино,  
 Красногорск, Международная улица, 12, МКАД, 66-й км"	prodavets-konsultant_krasnogorosk_940893035	Продавец-консультант Красногороск	сменный график	не имеет значения	Продажи
62	Москва, м. Алтуфьево, Лианозовский проезд	operator-kassir_v_bukmekerskiy_klub_bingo_bum_1127552116	Оператор-кассир в букмекерский клуб Бинго Бум			
63	Москва, м. Аннино, Варшавское шоссе (дублёр)	voditeli_taksi_arenda_skoda_octavia_1238156179	Водители такси аренда Skoda Octavia	свободный график	не имеет значения	Транспорт, логистика
64	Зеленоград, Москва, 2-й Западный проезд, 1	avtoslesar_avtomehanik_956273144	Автослесарь, автомеханик			
65	Москва, м. Отрадное, Алтуфьевское шоссе, 37с1	operator_koll_tsentra_1035938966	Оператор колл центра	сменный график	более 1 года	Строительство
66	"м. Печатники,  
 метро печатники. ул. полбина 1а"	malyar_zhestyanschik_1021792197	Маляр жестяньщик	полный день	не имеет значения	Автомобильный бизнес
67	Москва, м. Печатники, метро бауманская	rabota_vahtoy_v_moskveupakovschik_podarkov_1517001002	Работа вахтой в Москве/Упаковщик подарков	вахтовый метод	не имеет значения	Без опыта, студенты
68	Москва, м. Семеновская, улица Ибрагимова, 6Ас1	pomoschnik_povara_1559720441	Помощник повара			
69	Москва, м. Сокольники, Сокольническая площадь	menedzher_po_rabote_s_personalom_1559954250	Менеджер по работе с персоналом			
70	Москва, м. Угрешская, Остаповский проезд, 3с10	kurer_peshiy_1254284931	Курьер пеший	полный день	не имеет значения	Административная работа
71	"м. Медведково,  
 Осташковское шоссе, влд.2, стр.1"	povar_929148436	Повар	сменный график	более 1 года	Туризм, рестораны
72	"м. Преображенская площадь,  
 1я Бухвостова д.12/11 корп.53"	prodavets_konsultant_1214267742	Продавец консультант	полный день	более 1 года	Продажи
73	"м. Свиблово,  
 ул. Снежная дом 14"	otdelochnik_universal_1112702671	Отделочник универсал	полный день	более 3 лет	Строительство
74	"м. Водный стадион,  
 Кронштадтский бульвар, дом 7"	montazhnik_dverey_475784990	Монтажник дверей			
75	Калининско-Солнцевская линия, Москва, м. Новокосино, метро Новокосино	master_nogtevogo_servisa_1635159706	Мастер ногтевого сервиса	сменный график	более 1 года	Фитнес, салоны красоты
76	"м. Речной вокзал,  
 Ленинградское шоссе 84"	kontroler-ohrannik_na_vahtu_1172915889	Контролер-охранник на вахту			
77	Москва, м. Текстильщики, улица Юных Ленинцев, 25	voditel-sanitar_1710761035	Водитель-санитар	полный день	не имеет значения	Транспорт, логистика
78		voditel_v_taksi_horoshie_usloviya_1198979618	Водитель в такси (хорошие условия)	свободный график	не имеет значения	Транспорт, логистика
79	"м. Медведково,  
 г.Мытищи, ул.Веры Волошиной, д.12"	menedzher_po_prodazham_zapchastey_dlya_spetstehniki_1167146864	Менеджер по продажам запчастей для спецтехники	полный день	более 1 года	Продажи
80	"м. Охотный ряд,  
 Москва"	mashinist_ekskavatora_kolesnogo_1453967448	Машинист экскаватора колесного			
81	Москва, м. Новокузнецкая, Озерковский переулок, 15	operatorobzvon_bazy_1267126933	Оператор(обзвон базы)			
82	Москва, м. Строгино, улица Маршала Катукова, 24к6	voditel_kategorii_v_avtomobil_predostavlyaem_1325153881	Водитель категории В, автомобиль предоставляем	свободный график	не имеет значения	Транспорт, логистика
83	Москва, м. Лубянка, Лубянская площадь	trebuetsya_mashinist_gusenichnogo_ekskavatora_542958739	Требуется Машинист гусеничного экскаватора	полный день	более 1 года	Строительство
84	Москва, м. Площадь революции,	podrabotka_dnem_ili_nochyu_g._moskva_1281019667	Подработка днем или ночью / г. Москва	неполный день	не имеет значения	Без опыта, студенты
85	"м. Охотный ряд,  
 Москва"	prodavets_-_kassir_ryadom_s_domom_1260792831	Продавец - Кассир (рядом с домом)	полный день	не имеет значения	Продажи
86	"м. Алексеевская,  
 Звездный бульвар 21"	voditeli_dlya_dostavki_hleba_869413649	Водители для доставки хлеба	полный день	более 1 года	Транспорт, логистика
87	Московское центральное кольцо, Москва, м. Нижегородская, станция Нижегородская	prodavets_kassir_1664339024	Продавец кассир	сменный график	не имеет значения	Продажи
88	Москва, м. Планерная, Новокуркинское шоссе	pedagog_po_horeografii_1702412463	Педагог по Хореографии			
89	Москва, м. Волгоградский проспект, Волгоградский проспект, 32к8	smm_menedzher_v_sotsialnye_seti_1029278317	SMM менеджер в социальные сети	полный день	более 1 года	IT, интернет, телеком
90	"м. Щукинская,  
 Ул. Габричевского д.10 к.2"	administrator_salona_krasoty_1049765834	Администратор салона красоты	сменный график	более 1 года	Фитнес, салоны красоты
91	Москва, м. Петровско-Разумовская, Локомотивный проезд, 4	povar_pomoschnik_povara_v_restoran_fast-fud_1713185616	Повар, помощник повара в ресторан фаст-Фуд	полный день	не имеет значения	Туризм, рестораны
92	Москва, Зеленоград, к1519	parikmaher_1687680400	Парикмахер	полный день	более 1 года	Фитнес, салоны красоты
93	Москва, м. Бибирево, улица Пришвина, 22	rabotnik_torgovogo_zala_na_podrabotku_1634044245	Работник торгового зала (на подработку)	сменный график	не имеет значения	Без опыта, студенты
94	Москва, м. Строгино, Строгинский бульвар, 1	povar_-_kassir_1296910384	Повар - Кассир	полный день	не имеет значения	Туризм, рестораны
95	Москва, м. Белорусская, метро Белорусская	pomoschnikitsy_po_hozyaystvu_v_chastnyy_dom_1285507761	Помощники/цы по хозяйству в частный дом			
96	Москва, м. Ховрино, Зеленоградская улица, 25к4	master_manikyura_i_pedikyura_1317929801	Мастер маникюра и педикюра	сменный график	не имеет значения	Фитнес, салоны красоты
97	Москва, м. Верхние Лихоборы, Ильменский проезд, 4с1	voditel_taksi_podrabotka_1624146897	Водитель такси (подработка)	неполный день	не имеет значения	Транспорт, логистика
98	Москва, м. Таганская, Большой Дровяной переулок, 14с3	massazhisty_5050_1001803481	Массажисты 50\50			
99	Москва, м. Бульвар Дмитрия Донского, Старокачаловская улица 5	ofitsiant_1651079386	Официант	сменный график	не имеет значения	Туризм, рестораны
100	Москва, м. Красносельская, Малая Красносельская улица, 7с24	rekruter_na_massovyy_podbor_frilans_1220470499	Рекрутер на массовый подбор (фриланс)	свободный график	не имеет значения	Административная работа
101	Москва, м. Бульвар Дмитрия Донского, бульвар Дмитрия Донского, 1	voditel-ekspeditor_kategorii_e_refrizherator_1589180570	"Водитель-экспедитор категории ""Е"" (Рефрижератор)"	вахтовый метод	более 3 лет	Транспорт, логистика
102	"м. Площадь Ильича,  
 ул.Школьная д.17"	ohrannik-kontroler_1201986731	Охранник-контролер	сменный график	не имеет значения	Охрана, безопасность
103		administrator_magazina_m._otradnoe_1058830321	Администратор магазина м. Отрадное	сменный график	более 1 года	Продажи
104	Москва, м. Чкаловская, 3-й Сыромятнический переулок, 3/9с1	gruzchik_telefonov_dex_vahta_ot_15_smen_s_zhilem_1295699706	Грузчик телефонов Dex (вахта от 15 смен с жильем)	вахтовый метод	не имеет значения	Без опыта, студенты
105	"м. Площадь революции,  
 Москва"	hostes_1173017157	Хостес			
106	Москва, м. Алтуфьево, Псковская улица, 5к1	prodavets_1534599259	Продавец	полный день	не имеет значения	Продажи
107	"м. Охотный ряд,  
 Москва"	povar_-_sushist_1001594937	Повар - сушист	полный день	не имеет значения	Туризм, рестораны
108	Москва, м. Арбатская, улица Новый Арбат, 12	master_manikyura_pedikyura_i_naraschivaniya_nogtey_1414803587	Мастер маникюра, педикюра и наращивания ногтей	полный день	более 1 года	Фитнес, салоны красоты
109		ofitsiant_1113429642	Официант			
110	Москва, м. Улица Старокачаловская, Юго-Западный административный округ, район Северное Бутово	prodavets_kassir_m._ul._starokachalovskaya_1293334225	Продавец кассир м. ул. Старокачаловская	сменный график	не имеет значения	Продажи
111	Москва, м. Партизанская, метро Партизанская	otdelochnik_1014877250	Отделочник	полный день	более 1 года	Строительство
112	Москва, м. Курская, улица Земляной Вал, 33	povar_-_kassir_rabotnik_restorana_1062816834	Повар - кассир / Работник ресторана	вахтовый метод	не имеет значения	Туризм, рестораны
113	"м. Бутырская,  
 огородный проезд д14, офис 422"	gruzchiki-raznorabochie_857816778	Грузчики-разнорабочие	свободный график	не имеет значения	Без опыта, студенты
114	Москва, м. Соколиная гора, 1-я улица Измайловского Зверинца, 8	master-priemschik_slesarnogo_tseha_1598505798	Мастер-приемщик слесарного цеха	полный день	более 3 лет	Автомобильный бизнес
115	Москва, м. Белокаменная, 1-я Мясниковская улица, 2	barber_parikmaher_979421453	Барбер / Парикмахер	полный день	более 1 года	Фитнес, салоны красоты
116	Москва, м. Перово, Зелёный проспект, 3/10	uborschitsa_-_posudomoyschitsa_uborschitsa_-_posudomoyschik_1063779326	Уборщица - посудомойщица / уборщица - посудомойщик	сменный график	не имеет значения	Без опыта, студенты
117	Москва, м. Свиблово, Калужско-Рижская линия, метро Свиблово	prodavets_konsultant_1416321947	Продавец консультант	свободный график	не имеет значения	Продажи
118	"м. Волгоградский проспект,  
 м. Волгоградский проспект"	avtoslesar_gruzovogo_avtomobilya_1718018484	Автослесарь грузового автомобиля	сменный график	более 1 года	Транспорт, логистика
119	Москва, м. Хорошево, 3-й Силикатный проезд, 6к1	voditel_taksi_na_zarplatu._rabota_v_taksi_1297161062	Водитель такси на зарплату. Работа в такси	сменный график	не имеет значения	Транспорт, логистика
120		master_manikyura-pedikyura_1158723896	Мастер маникюра-педикюра			
121	Москва, м. Волоколамская, метро Волоколамская	master_otdelochnyh_rabot_1527117280	Мастер отделочных работ	полный день	более 1 года	Строительство
122	Замоскворецкая линия, Москва, м. Речной вокзал, метро Речной вокзал	dispetcher_1268298667	Диспетчер	сменный график	не имеет значения	Административная работа
123	Москва, м. Смоленская, метро Смоленская	trebuetsya_brigada_po_vnutrenney_otdelke_1685353285	Требуется бригада по внутренней отделке			
124		voditel_taksi_na_arendnoy_kia_984829332	Водитель такси на арендной Киа	свободный график	не имеет значения	Транспорт, логистика
125		povar_na_liniyu_razdachi_356851462	Повар на линию раздачи			
126	Москва, м. Медведково, метро Медведково	prodavets_1066532165	Продавец	полный день	не имеет значения	Продажи
127		prodavets_-_kassir_m.bratislavskaya_998425462	Продавец - кассир (м.Братиславская)	сменный график	не имеет значения	Продажи
128	"м. Лермонтовский проспект,  
 Проспект Защитников Москвы д 13"	vospitatelya_priglashaem_na_rabotu_1156271331	Воспитателя приглашаем на работу	неполный день	более 3 лет	Образование, наука
129	Замоскворецкая линия, Москва, м. Технопарк, метро Технопарк	prodavets-kassir_1007280117	Продавец-кассир	сменный график	не имеет значения	Продажи
130	Перекресток Супермаркет, Зеленоград ул. Радио влд.11, корп 2314 Б, район Крюково	trebuyutsya_uborschikitsy_1616185678	Требуются уборщики/цы			
131	"м. Шаболовская,  
 ул Серпуховский Вал 21"	otdelochniki_1647507704	Отделочники	полный день	более 3 лет	Строительство
132	"м. Охотный ряд,  
 Москва"	vahta_s_prozhivaniem_rabotnik_sklada_1710371539	Вахта с проживанием Работник склада	вахтовый метод	не имеет значения	Без опыта, студенты
133	"м. Охотный ряд,  
 Москва"	gruzchik_produktsii_apple_vahtazhilepitanie_1246803287	Грузчик продукции Apple вахта/жилье/питание	вахтовый метод	не имеет значения	Без опыта, студенты
134	"м. Бульвар Дмитрия Донского,  
 Знаменские садки 5 б"	shaurmist-shashlychnik_794904962	Шаурмист-шашлычник			
135	Калужско-Рижская линия, Москва, м. Ленинский проспект, метро Ленинский проспект	master_manikyura_1712007996	Мастер маникюра	сменный график	не имеет значения	Фитнес, салоны красоты
136	Москва, м. Шоссе Энтузиастов, метро Шоссе Энтузиастов	master_po_remontu_stiralnyh_mashin_v_masterskuyu_1712135038	Мастер по ремонту стиральных машин (в мастерскую)	полный день	более 1 года	ЖКХ, эксплуатация
137	"м. Щелковская,  
 уральская д6 к1"	prodavets_aksessuarov_dlya_mobilnyh_telefonov_817756441	Продавец аксессуаров для мобильных телефонов	полный день	более 1 года	Продажи
138	"м. Алтуфьево,  
 Дмитровское шоссе 163А"	mehanik_slesar_1536457283	Механик Слесарь	полный день	более 3 лет	Автомобильный бизнес
139	"м. Площадь революции,  
 Москва"	elektrosvarschik_1211013584	Электросварщик			
140	"м. Кунцевская,  
 Можайское шоссе, д.31/1"	ohrannik_v_magazin_tts_molodezhnyy_1061829498	Охранник в магазин ТЦ Молодежный	сменный график	не имеет значения	Охрана, безопасность
141		ohrannik_1020330386	Охранник			
142	Москва, м. Ховрино, Северный административный округ, район Левобережный	voditel_s_kategoriey_s_na_pyatitonnik_1690969737	Водитель с категорией С на пятитонник			
143	Москва, м. Автозаводская, улица Ленинская Слобода, 26	prodavets-konsultant_po_korpusnoy_mebeli_1502766915	Продавец-консультант по корпусной мебели			
144	Москва, м. Тверская, метро Тверская	kassir_m._tverskaya_1096570191	Кассир м. Тверская	свободный график	не имеет значения	Продажи
145	Москва, м. Авиамоторная и МО	santehnik_sistem_otopleniya_vodosnabzheniya_1398289064	Сантехник систем отопления водоснабжения	свободный график	не имеет значения	Строительство
146	Москва, м. Коньково, улица Академика Капицы, 4соор1	pomoschnik_deteylera_moyschik_1247390381	Помощник детейлера (мойщик )			
147	Москва, м. Ховрино, Правобережная улица, 1	ustanovschik_dopolnitelnogo_oborudovaniya_1143695136	Установщик дополнительного оборудования	сменный график	более 3 лет	Автомобильный бизнес
148	Москва, м. Хорошевская, метро Полежаевская	monolitchiki-betonschiki_1218188637	Монолитчики-бетонщики	вахтовый метод	более 1 года	Строительство
149		pomoschnik_v_zagorodnyy_dom_838222890	Помощник в загородный дом			
150	Москва, м. Сходненская, улица Героев Панфиловцев, 1к1	voditel_taksi_bez_arendy_gbo60-voditelyu_551272835	Водитель такси без аренды, гбо,60-водителю	сменный график	не имеет значения	Автомобильный бизнес
151	Москва, м. Площадь революции, Красная площадь	mobilnyy_kassir_torgovogo_zala_1377201490	Мобильный кассир торгового зала	полный день	не имеет значения	Продажи
152	"м. Павелецкая,  
 Татарская ул д14"	master_manikyura-pedikyura_905840173	Мастер маникюра-педикюра			
153	Москва, м. Планерная, метро Планерная	otdelochnik-universal_1281220828	Отделочник-универсал	полный день	более 1 года	Строительство
154	Москва, м. Проспект Вернадского, Ленинский проспект, 101	nails2go_1337361892	Nails2go			
155		administrator_magazina_1113886449	Администратор магазина	сменный график	более 1 года	Продажи
156	Москва, м. Новослободская, Краснопролетарская улица, 4	povar_v_myasnoy_tseh_1477698358	Повар в мясной цех			
157	Москва, м. Хорошево, проспект Маршала Жукова, 2	gruzchik._rabota._podrabotka_1481261063	Грузчик. Работа. Подработка	свободный график	не имеет значения	Транспорт, логистика
158	"м. Площадь революции,  
 Москва"	pomosch_po_domu_s_prozhivaniem_1510633729	Помощь по дому с проживанием			
159	Москва, м. Курская, метро Курская	raznorabochiy._oplata_kazhdyy_den_1615754592	Разнорабочий. Оплата каждый день	неполный день	не имеет значения	Без опыта, студенты
160	Москва, м. Лубянка, Большой Златоустинский переулок, 7с1	menedzher_po_podboru_personala_1677741260	Менеджер по подбору персонала	полный день	не имеет значения	Управление персоналом
161	"м. Тургеневская,  
 Даев-Плаза"	menedzher_1701683734	Менеджер			
162	"м. Верхние Лихоборы,  
 Бескудниковский бульвар д.12 с.1"	ofitsiant_828181022	Официант	сменный график	не имеет значения	Туризм, рестораны
163	Москва, м. Белорусская, улица Правды, 6с2	peshiy_kurer_1029110282	Пеший курьер	сменный график	не имеет значения	Туризм, рестораны
164	Москва, м. Балтийская, Ленинградское шоссе, 16Ас8	rabotnik_torgovogo_zala_1553138860	Работник торгового зала	свободный график	не имеет значения	Без опыта, студенты
165	Москва, м. Бабушкинская, Магаданская улица, 10	voditel_na_manipulyator_yamobur_1491376622	Водитель на манипулятор ямобур	полный день	не имеет значения	Автомобильный бизнес
166	Москва, м. Верхние котлы, Южный административный округ, Донской район	ohrannik_bez_litsenzii_vahta_v_zhiloy_kompleks_637302622	Охранник без лицензии (вахта) в жилой комплекс	вахтовый метод	не имеет значения	Охрана, безопасность
167	"м. Кантемировская,  
 Деловая, 18"	obivschik_823878834	Обивщик			
168	Москва, м. Марксистская, метро Таганская	rabota_v_moskve._svezhie_vakansii._rabotnik_magazin_1644382866	Работа в Москве. Свежие вакансии. Работник магазин	свободный график	не имеет значения	Без опыта, студенты
169	Москва, м. Мичуринский проспект, Очаковское шоссе, 5Ас29	mashinist_ekskavatora_1140882265	Машинист экскаватора			
170		voditel-ekspeditor_kategorii_e_927638150	Водитель-экспедитор категории Е	сменный график	не имеет значения	Транспорт, логистика
171	"м. Текстильщики,  
 Саратовская 31"	voditel_945793994	Водитель	полный день	не имеет значения	Транспорт, логистика
172	Москва, м. Таганская, Серебряническая набережная	barmen_v_kafe_838185257	Бармен в кафе	полный день	не имеет значения	Туризм, рестораны
173	"м. Кунцевская,  
 Ул . Рябиновая д 28 , стр 11"	shinomontazhnik-_avtoslesar_365544098	Шиномонтажник- автослесарь	сменный график	более 5 лет	Автомобильный бизнес
174	Москва, м. Домодедовская, метро Домодедовская	kassir_1365024949	Кассир	сменный график	не имеет значения	Продажи
175	Кольцевая линия, Москва, м. Парк культуры, метро Парк культуры	uborschiktsa_v_utro_1580407212	Уборщи(к/ца) в утро	сменный график	не имеет значения	Туризм, рестораны
176	Москва, Зеленоград	upakovschiki_aviaobedov_mzh_bespl._pitanie_1296043776	Упаковщики авиаобедов м/ж (беспл. питание)	полный день	не имеет значения	Без опыта, студенты
177	Москва, м. Верхние Лихоборы, Дубнинская улица, 2к7	master_manikyura_pedikyura_1358813792	Мастер маникюра педикюра	сменный график	не имеет значения	Фитнес, салоны красоты
178	"м. Отрадное,  
 Москва"	trebuyutsya_malyary_1577125149	Требуются маляры	полный день	более 1 года	Строительство
179		peshiy_kurer_1679656322				
180	"м. Площадь революции,  
 Москва"	voditel_na_samosval_1613720569	Водитель на самосвал	полный день	более 3 лет	Транспорт, логистика
181	Москва, м. Пражская, метро Пражская	merchendayzer_tts_columbus_m._prazhskaya_1177470718	Мерчендайзер (ТЦ Columbus, м. Пражская)	свободный график	не имеет значения	Без опыта, студенты
182	Москва, м. Павелецкая, Жуков проезд, 8с18	deloproizvoditeloperator_bazy_dannyh_963412299	Делопроизводитель/Оператор базы данных	полный день	более 1 года	Административная работа
183	Москва, м. Смоленская, улица Арбат	ohrannik_1333820610	Охранник			
184	метро , Калужско-Рижская линия, Москва, м. Теплый стан, Тёплый Стан	prodavets-konsultant_igrushek_1090849454	Продавец-консультант игрушек	полный день	более 1 года	Продажи
